path,rights_group,origin,origin_commit,source_identity,modification_status,owner_evidence,ai_assistance,third_party_material,inbound_license,current_notice,outbound_license,redistribution_authority,public_status,public_release_eligible,required_action,evidence_reference,authority_effect,record_status
EXCLUDED_PATHS.csv,D,OA-01 generated projection; GH-01 deterministic regeneration,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_REGENERATED_RECORD,OA01_AND_GH01_HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:EXCLUDED_PATHS.csv,NONE,ACTIVE
HUMAN_RIGHTS_ATTESTATION_REQUIRED.md,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_SUCCESSOR_MODIFIED,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:HUMAN_RIGHTS_ATTESTATION_REQUIRED.md,NONE,ACTIVE
LICENSE,D,RL-02 human-approved implementation candidate,NOT_APPLICABLE_PENDING_SUCCESSOR_COMMIT,OFFICIAL_MPL_TEXT_SHA256:3f3d9e0024b1921b067d6f7f88deb4a60cbe7a78e76c64e3f1d7fc3b779b9d04,NEW_RL02_FILE,RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f; INDEPENDENT_REVIEW_REQUIRED,NO_AI_ASSISTANCE_EXACT_OFFICIAL_LICENSE_BYTES,OFFICIAL_MPL-2.0_LICENSE_TEXT,MPL-2.0_OFFICIAL_TEXT,RL02_LICENSE_NOTICE_AND_AI_DISCLOSURE_SET,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:LICENSE,NONE,ACTIVE
LICENSE_DECISION_MEMO.md,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_SUCCESSOR_MODIFIED,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:LICENSE_DECISION_MEMO.md,NONE,ACTIVE
LICENSE_NOT_YET_SELECTED.md,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,RETIRED_IN_RL02_SUCCESSOR,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,SUPERSEDED_BY_OPERATIVE_MPL_AND_UNICODE_NOTICE_SET,NOT_APPLICABLE_RETIRED,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,PRESERVE_RETIRED_IDENTITY_IN_RIGHTS_AND_LINEAGE_EVIDENCE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_RETIRED:LICENSE_NOT_YET_SELECTED.md,NONE,RETIRED
LICENSE_SCOPE.md,D,RL-02 human-approved implementation candidate,NOT_APPLICABLE_PENDING_SUCCESSOR_COMMIT,RL02_GENERATED_BYTES,NEW_RL02_FILE,RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f; INDEPENDENT_REVIEW_REQUIRED,YES_OPENAI_CODEX_DISCLOSED,NO_KNOWN_COPIED_MATERIAL_EXCEPT_AS_EXPLICITLY_NOTICED,HUMAN_APPROVED_RL02_CANDIDATE,RL02_LICENSE_NOTICE_AND_AI_DISCLOSURE_SET,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:LICENSE_SCOPE.md,NONE,ACTIVE
NOTICE,D,RL-02 human-approved implementation candidate,NOT_APPLICABLE_PENDING_SUCCESSOR_COMMIT,RL02_GENERATED_BYTES,NEW_RL02_FILE,RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f; INDEPENDENT_REVIEW_REQUIRED,YES_OPENAI_CODEX_DISCLOSED,NO_KNOWN_COPIED_MATERIAL_EXCEPT_AS_EXPLICITLY_NOTICED,HUMAN_APPROVED_RL02_CANDIDATE,RL02_LICENSE_NOTICE_AND_AI_DISCLOSURE_SET,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:NOTICE,NONE,ACTIVE
NOTICE_REPAIR_PLAN.md,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_SUCCESSOR_MODIFIED,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:NOTICE_REPAIR_PLAN.md,NONE,ACTIVE
PROJECTION_LINEAGE.csv,D,OA-01 generated projection; GH-01 deterministic regeneration,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_REGENERATED_RECORD,OA01_AND_GH01_HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:PROJECTION_LINEAGE.csv,NONE,ACTIVE
PUBLIC_CLAIM_LEDGER.csv,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,NEW_OA01_FILE,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,OA01_GENERATED:PUBLIC_CLAIM_LEDGER.csv,NONE,ACTIVE
PUBLIC_PROJECTION_MANIFEST.json,D,OA-01 generated projection; GH-01 deterministic regeneration,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_REGENERATED_RECORD,OA01_AND_GH01_HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:PUBLIC_PROJECTION_MANIFEST.json,NONE,ACTIVE
README.md,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_SUCCESSOR_MODIFIED,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:README.md,NONE,ACTIVE
REPLACED_PATHS.csv,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_REGENERATED_RECORD,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:REPLACED_PATHS.csv,NONE,ACTIVE
RIGHTS_EVIDENCE_MATRIX.csv,D,OA-01 generated projection; GH-01 deterministic regeneration,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_REGENERATED_RECORD,OA01_AND_GH01_HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:RIGHTS_EVIDENCE_MATRIX.csv,NONE,ACTIVE
SECURITY.md,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,NEW_OA01_FILE,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,OA01_GENERATED:SECURITY.md,NONE,ACTIVE
THIRD_PARTY_NOTICES.md,D,RL-02 human-approved implementation candidate,NOT_APPLICABLE_PENDING_SUCCESSOR_COMMIT,RL02_GENERATED_BYTES,NEW_RL02_FILE,RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f; INDEPENDENT_REVIEW_REQUIRED,YES_OPENAI_CODEX_DISCLOSED,NO_KNOWN_COPIED_MATERIAL_EXCEPT_AS_EXPLICITLY_NOTICED,HUMAN_APPROVED_RL02_CANDIDATE,RL02_LICENSE_NOTICE_AND_AI_DISCLOSURE_SET,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:THIRD_PARTY_NOTICES.md,NONE,ACTIVE
THIRD_PARTY_SNIPPET_AND_LICENSE_FINDINGS.csv,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_REGENERATED_RECORD,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:THIRD_PARTY_SNIPPET_AND_LICENSE_FINDINGS.csv,NONE,ACTIVE
